student,height,weight,age,gender
1,163,63.4,20,F
2,173,66.9,18,F
3,168,65,18,F
4,169,82,18,F
5,162,59,18,F
6,172,68,19,F
7,159,52,18,F
8,161,51.6,20,F
9,171,64.8,19,F
10,172,68,18,F
11,184,72.6,18,F
12,160,52,19,F
13,160,51,19,F
14,158,48,18,F
15,169,66,18,F
16,150,50.1,20,F
17,164,52.6,19,F
18,175,63,20,F
19,174,68,18,F
20,166,56,18,F
21,157,56,19,F
22,174,64,18,F
23,178,65,19,F
24,180,62,18,F
25,169,57.1,18,F
26,177,61,19,F
27,167,51,19,F
28,169,50,18,F
29,172,64,18,F
30,168,57,18,F
31,163,50,18,F
32,164,58,19,F
33,158,62,19,F
34,172,64,18,F
35,178,64,18,F
36,167,62,18,F
37,159,58,18,F
38,171,69,19,F
39,172,55.8,20,F
40,167,57.3,19,F
41,172,72,18,F
42,171,67.5,18,F
43,162,70,28,F
44,177,67,19,F
45,167,53.9,18,F
46,179,90,19,F
47,174,53.2,20,F
48,174,64,19,F
49,174,58.7,18,F
50,179,61.8,18,F
51,164,61.4,19,F
52,175,61.2,19,F
53,163,68,19,F
54,170,51.7,18,F
55,164,58.9,19,F
56,147,37.2,20,F
57,165,62,18,F
58,174,70,18,F
59,158,53,18,F
60,168,69,18,F
61,167,52,18,F
62,169,59.4,20,F
63,162,50.2,19,F
64,168,61.5,19,F
65,158,60.1,18,F
66,162,62,19,F
67,167,63.2,18,F
68,174,63.9,19,F
69,170,64.3,18,F
70,163,65.4,19,F
71,161,56,20,F
72,178,82,18,F
73,174,60,18,F
74,164,73,18,F
75,176,65.7,18,F
76,173,55.9,18,F
77,171,57.1,18,F
78,170,51,18,F
79,163,82,18,F
80,168,77.4,19,F
81,160,53.8,19,F
82,174,61.4,19,F
83,165,69.6,20,F
84,176.5,70.1,19,F
85,164,67.1,18,F
86,168,53.2,18,F
87,167,67,18,F
88,179,75,18,F
89,174,67,18,F
90,164,65,18,F
91,166,52,18,F
92,169,56,18,F
93,169,68,21,F
94,172,57,18,F
95,172,74,23,F
96,153,54,19,F
97,183,62.3,18,F
98,179,73,18,F
99,170,79,18,F
100,176,71,18,F
101,171,74,18,F
102,165,62.8,18,F
103,158,59.7,18,F
104,166,65,18,F
105,162,78,18,F
106,147,50.4,18,F
107,171,67.9,18,F
108,168,54,18,F
109,165,71,19,F
110,172,70,18,F
111,164,49,18,F
112,171,61,18,F
113,177,80,17,F
114,161,54,19,F
115,163,73,18,F
116,172,61,22,F
117,160,54,20,F
118,162,57,18,F
119,180,80,18,F
120,179,58,19,F
121,166,53.2,19,F
122,168,55.8,19,F
123,170,63.6,21,F
124,160,65,22,F
125,155,52.7,23,F
126,171,58,18,F
127,167,52,19,M
128,180,65,19,M
129,182,101,18,M
130,193,93.8,18,M
131,189,84.4,18,M
132,178,78,18,M
133,193,88.5,18,M
134,174,62.4,18,M
135,178,73.3,19,M
136,176,71,18,M
137,188,90.3,19,M
138,188,79.1,19,M
139,186,88,25,M
140,210,103,21,M
141,184,86.4,19,M
142,179,72.7,19,M
143,186,75,21,M
144,184,73,18,M
145,169,59,18,M
146,181,74,18,M
147,178,72,18,M
148,177,77,18,M
149,191,75,19,M
150,177,76,19,M
151,183,67,18,M
152,175,64.2,18,M
153,181,68,18,M
154,190,90,19,M
155,200,80,18,M
156,189,78,19,M
157,180,88,28,M
158,191,178,19,M
159,185,74,19,M
160,186,77,18,M
161,168,77,18,M
162,180,103,18,M
163,172.5,72.5,22,M
164,181,79,21,M
165,173.5,64,20,M
166,175,65,18,M
167,180,85.7,20,M
168,180,67.7,19,M
169,183,96,20,M
170,196,96,19,M
171,180,56.8,18,M
172,176,80,18,M
173,187,89.7,18,M
174,176,77,18,M
175,178.5,64.4,18,M
176,177,69,18,M
177,169,65.4,20,M
178,180,72.3,19,M
179,176,80.1,18,M
180,179,79,18,M
181,181,64,18,M
182,178,92,19,M
183,174,63.5,19,M
184,176,72,19,M
185,185,80.4,18,M
186,190,80.7,19,M
187,177,72.1,18,M
188,189,108,18,M
189,186,65,18,M
190,181,59,18,M
191,183,80,18,M
192,184,79.8,23,M
193,182,66.2,19,M
194,185,77,18,M
195,173,85,18,M
196,181,80.8,18,M
197,176,78.9,20,M
198,187,64.6,18,M
199,186,107.5,18,M
200,171,71.5,18,M
201,169,48,18,M
202,185,70.1,19,M
203,163,56,21,M
204,179,88,18,M
205,190,69.1,18,M
206,174,64.2,18,M
207,176,61.9,19,
208,165,,,
209,176,75,19,
210,173,56,21,
211,167,60,21,
